47.342352, -122.326673
47.342351368, -122.326671559
47.342351333, -122.3266715
47.342352638, -122.326673152
47.342352667, -122.326673167
47.342353235, -122.326674253
47.342353167, -122.326674167
47.34235139, -122.326672521
47.342351333, -122.3266725
47.342350079, -122.326673247
47.34235, -122.326673167
47.342347929, -122.326676652
47.342348, -122.326676667
47.34234988, -122.326678652
47.342349833, -122.326678667
47.34235212, -122.326680097
47.342352167, -122.32668
47.342352619, -122.326682283
47.342352667, -122.326682333
47.342357841, -122.326688717
